,Smiles,acetoxy_radical,iminyl_radical,free_radical,BDE,integral,log_integral,decarboxylation_enthalpy
25,CC(C)=NOC(=O)Nc1cccc(C(F)(F)F)c1,[O]C(=O)Nc1cccc(C(F)(F)F)c1,CC(C)=[N],[NH]c1cccc(C(F)(F)F)c1,44.17042889998422,1.6686601952423084,0.22236790626808012,-16.741966800106336
26,O=C(Nc1cccc([N+](=O)[O-])c1)ON=C1CCCCC1,[O]C(=O)Nc1cccc([N+](=O)[O-])c1,[N]=C1CCCCC1,[NH]c1cccc([N+](=O)[O-])c1,41.22238692000799,51588.791076493166,4.712555350804889,-15.19703718001189
27,Cc1ccc(NC(=O)ON=C2CCCCC2)c(C)c1,Cc1ccc(NC([O])=O)c(C)c1,[N]=C1CCCCC1,[NH]c1ccc(C)cc1C,39.110815769988726,12.129471488352753,1.0838418779735357,-16.741966800106336
28,CC(C)=NOC(=O)Nc1ccc(Br)cc1,[O]C(=O)Nc1ccc(Br)cc1,CC(C)=[N],[NH]c1ccc(Br)cc1,43.398591600292114,5.58189150763259,0.7467813910751503,-16.11508430997691
29,CC(C)=NOC(=O)Nc1cccc(C)c1C,Cc1cccc(NC([O])=O)c1C,CC(C)=[N],[NH]c1cccc(C)c1C,41.83358166003435,1.272326713385843,0.10459864559033892,-15.80572187997324
30,CC(C)=NOC(=O)Nc1ccccc1Cl,[O]C(=O)Nc1ccccc1Cl,CC(C)=[N],[NH]c1ccccc1Cl,43.71422912985191,0.38031006402801437,-0.4198621818353255,5.624372129996411
31,CC(C)=NOC(=O)Nc1ccc([N+](=O)[O-])cc1C,Cc1cc([N+](=O)[O-])ccc1NC([O])=O,CC(C)=[N],[NH]c1ccc([N+](=O)[O-])cc1C,44.45029835999102,169747.0027774459,5.229802114683272,-15.335716890018455
32,CC(C)=NOC(=O)Nc1cccc(Cl)c1Cl,[O]C(=O)Nc1cccc(Cl)c1Cl,CC(C)=[N],[NH]c1cccc(Cl)c1Cl,44.21435459994466,0.9914963099957312,-0.003708897748617182,-16.864331250011414
33,Cc1ccc(NC(=O)ON=C2CCCCC2)cc1C,Cc1ccc(NC([O])=O)cc1C,[N]=C1CCCCC1,[NH]c1ccc(C)c(C)c1,37.855795769947065,6.276105819446562,0.7976902574793169,-15.603036149985595
34,CCCCNC(=O)ON=C1CCCCC1,CCCCNC([O])=O,[N]=C1CCCCC1,[NH]CCCC,37.405871100012924,1.2338086146522749e-10,-9.908752201766797,-17.309235839958234
